call_number,category,date_acquired,title,id,author,correction_date,correction_source
PL2447 .L5323 2015,"China, South Asia, & East Asia",,战国简帛字迹研究:以上博简为中心,,,,
DS154.9.P43 M35 2003,Ancient Western Asia,,The military architecture of Jordan during the Middle Bronze Age: new evidence from Pella and Rukeis,,,,
DK508.425.S39 K87 1991,The Caucasus & The Western Steppe,,Kурганы Степной Скифии: сборник научных трудов,,,,
DS793.T8 X53 2016,"China, South Asia, & East Asia",,敦煌石窟供养人研究述评=The research review on the donors of Dunhuang grottoes,,,,
BM487 .M27 1964,Ancient Western Asia,,The Dead Sea scrolls; a college textbook and a study guide,,,,
BL2005 .F56 1989,"China, South Asia, & East Asia",,An archaeological history of religions of Indian Asia,,,,
NA2790 .C37 1997,Cross-Cultural Studies & Other,,Las casas del alma: maquetas arquitectónicas de la antigüedad[5500 a,,,,
DT83 .G45 1987,Egypt & North Africa,,"Egyptian oases: Baḥariya, Dakhla, Farafra, and Kharga during Pharaonic times",,,,
BL310 .K7 1938,Cross-Cultural Studies & Other,,La genèse des mythes,,,,
PA3323 .L34 2017,Egypt & North Africa,,"Land and taxes in Ptolemaic Egypt: an edition, translation and commentary for the Edfu land survey (P",,,,
DK72 .D74 1985,The Caucasus & The Western Steppe,,"Древняя Русь: гoрод, зaмoк, сeлo",,,,
DK511.C2 R494 2000,The Caucasus & The Western Steppe,,Das frühbronzezeitliche Gräberfeld von Klady und die Majkop-Kultur in Nordwestkaukasien,,,,
DK511.K6 K83 1993,The Caucasus & The Western Steppe,,Вторая Кубанская археологическая конференция: тезисы и доклады,,,,
DK511.C2 A678 2013,The Caucasus & The Western Steppe,,"III ""Анфимовские чтения "" по археологии Западного Кавказа: памятники раннего христианства на Западном Кавказе к 1025-летию крещения Руси (г",,,,
DS6 .F3 1996,"China, South Asia, & East Asia",,"Travels of Fah-Hian and Sung-Yun, Buddhist pilgrims, from China to India (400 A",,,,
ND2849.S47 D66 2016,"China, South Asia, & East Asia",,"山西古代寺观,墓室壁画精品集萃=The brilliance of murals ancient tombs & temples in Shan xi",,,,
CB9 .E53 1988 Non-circulating,Cross-Cultural Studies & Other,2009-09-01T00:00:00.000000,The encyclopedia of ancient civilizations /,,,,
DS110.5 .R6 1930,Egypt & North Africa,,"The sarcophagus of an ancient civilization: Petra, Edom and the Edomites",,,,
DS80.3 .D86 1937,Ancient Western Asia,,"Fouilles de Byblos, t",,,,
N7342 .F87 2015,"China, South Asia, & East Asia",,From this life to eternity,,,,
BL687 .C67 2004,European and Classical Antiquity,,"Saturnia tellus: definizioni dello spazio consacrato in ambiente etrusco, italico, fenicio-punico, iberico e celtico : atti del Convegno internazionale svoltosi a Roma dal 10 al 12 novembre 2004",,,,
DS99.H25 S776 2014,Ancient Western Asia,,"Ausgrabungen in Habuba Kabira, Bd",,,,
NB1047.C48 T536 2016,"China, South Asia, & East Asia",,田野、实践与方法:美术考古与大足学研究,,,,
PL2464.Z6 F54 2015,"China, South Asia, & East Asia",,The Duke of Zhou Changes: a study and annotated translation of the Zhouyi周易,,,,
PJ4054.D8 H55 1998,Ancient Western Asia,,Drehem administrative documents from the reign of Šulgi,,,,
PL2447 .S86 2015,"China, South Asia, & East Asia",,"清華簡""繫年""初探",,,,
DT73.B375 B48 2011,Egypt & North Africa,,"Berenike 2008-2009: report on the excavations at Berenike, including a survey in the Eastern Desert",,,,
CD6173 .S84 2016,"China, South Asia, & East Asia",,中国玺印篆刻通史=Zhongguo xinyin zhuanke tongshi,,,,
BQ634 .T73 1987,"China, South Asia, & East Asia",,"宋高僧傳, v",,,,
Z3461 .N56 1919,The Caucasus & The Western Steppe,,"Armenia and the Armenians; a list of references in the New York Public Library,",,,,
PA3304 .S25 1996,Egypt & North Africa,,"Papyri Bodeleianae I, v",,,,
KL147 .W75 2017,Cross-Cultural Studies & Other,,Writing laws in antiquity = L'écriture du droit dans l'antiquité,,,,
DG70.P7 C6268,European and Classical Antiquity,,The small finds and vessel glass from Insula VI,,,,
ND2552 .Z48 2016,"China, South Asia, & East Asia",,嘉峪关新城魏晋墓砖壁画保护研究,,,,
DS731.S63 I58 2014,"China, South Asia, & East Asia",,"粟特人在中国:考古发现与出土文献的新印证 =Sogdians in China : New Evidence in Archaeological Finds and Unearthed Texts,v",,,,
DK508.9.B57 I87 1980 Non-circulating,The Caucasus & The Western Steppe,2013-11-18T00:00:00.000000,Issledovanii͡a po antichnoĭ arkheologii I͡Ugo-Zapada Ukrainskoĭ SSR :,,,,
DS715 .Q36 1997,"China, South Asia, & East Asia",,全国考古新发现精品展=Exhibition of gems : new finds in field archaeology of China,,,,
PJ1483 .L5 1970,Egypt & North Africa,,Literatur,,,,
ND1043.24 .C454 2000,"China, South Asia, & East Asia",,魏晋南北朝绘画史,,,,
DS797.56.Y365 Y36,"China, South Asia, & East Asia",2025-12-04,Yangzhou kao gu fa xian yu yan jiu /,,,,
DS795.15 .D334 2015,"China, South Asia, & East Asia",,大葆台汉墓文物= Cultural relics from the Dabaotai Western Han mausoleum,,,,
HD9490.5.O463 L43 2006,Ancient Western Asia,,"Le maṭrūf, le madras et le beqūf: la fabrication de l'huile d'olive au Liban : essai d'anthropologie des techniques",,,,
DS62 .M478 2015,Ancient Western Asia,,"The ancient Near East in the nineteenth century: appreciation and appropriations, v",,,,
CC79.M47 P47 2017,European and Classical Antiquity,,"Physical barriers, cultural connections: a reconsideration of the metal flow at the beginning of the Metal Age in the Alps",,,,
P945.A2 G76348 2012,Ancient Western Asia,,Hethitische Texte in Transkription KBo 48,,,,
DS796.A55 L53 1951,"China, South Asia, & East Asia",,侯家莊(河南安陽侯家莊殷代墓地),,,,
DS111 .S7313 1982. From the Library of David I. Owen,Ancient Western Asia,,"Material culture of the land of the Bible in the Persian period, 538-332 B",,,,
P945.A2 G76347 2011,Ancient Western Asia,,Hethitische Texte in Transkription KBo 47,,,,
PJ4053 .H37 1912,Ancient Western Asia,,"Sumerian tablets in the Harvard Semitic Museum, pt",,,,
DK34.K45 K35 2014,Central Asia & Siberia,,"Хазария в кросскультурном пространстве: историческая география, крепостная архитектура, выбор веры = Khazarii͡a in Cross-cultural Space: Historical Geography, Fortress Architecture, Choice of Faith",,,,
GN824.T25 M3 1970,Central Asia & Siberia,,Тува в скифское время; уюкская культура,,,,
DS556.4 .Y84 2016,"China, South Asia, & East Asia",,越南义立:冯原文化遗存发掘报告,,,,
GN776.32.C6 D64 2016,"China, South Asia, & East Asia",,东北新石器时代,,,,
DA677.1 .D86 2004,European and Classical Antiquity,,"Pre-Boudican and later activity on the site of the forum: excavations at 168 Fenchurch Street, City of London",,,,
DS797.72.Y578 Y588 2016,"China, South Asia, & East Asia",,沂源文物精粹,,,,
NK4670.7.C6 D36 2016,"China, South Asia, & East Asia",,北朝艺术研究院藏品图录,,,,
DS741.25 .X83 2015,"China, South Asia, & East Asia",,"《繫年》,《春秋》,《竹書紀年》的历史叙事",,,,
ND2849.L6 W37 2015,"China, South Asia, & East Asia",,洛陽兩漢彩畫,,,,
KL147 .J33 2013,Ancient Western Asia,,A comparison of ancient Near Eastern law collections prior to the first millennium BC,,,,
DS110.M33 L5831,Ancient Western Asia,,Masada,,,,
P945 .Z8 1975 Bd.4:pt.1 (Lfg.22-24),Ancient Western Asia,,"Hethitisches Wörterbuch, Bd",,,,
CC1 .A835 Non-circulating,Cross-Cultural Studies & Other,2010-10-08T00:00:00.000000,Art and archaeology newsletter.,,,,
DS66 .P35 2016,Ancient Western Asia,,Diplomazia e propaganda in epoca imperiale ittita: forma e prassi: testo italiano con dettagliata sintesi in tedesco = Diplomatie und Propaganda in hethitischer Grossreichszeit: Form und Praxis: italienischer Text mit ausführlicher deutscher Zusammenfassung,,,,
N2250.P4 S73 1995,Ancient Western Asia,,Meisterwerke im Pergamon- und Bodemuseum,,,,
DK511.I6 V76 2006,The Caucasus & The Western Steppe,,Погребальные памятники эпохи бронзы и раннего железного века равнинной зоны Республики Ингушетия,,,,
CN1160 .C436 2016,"China, South Asia, & East Asia",,長安高陽原新出土隋唐墓誌,,,,
NK3850 .T73 2015,European and Classical Antiquity,,The ceramics industry of Roman Sikyon: a technological study,,,,
PN6297.C45 M895 2016,"China, South Asia, & East Asia",,墓志,,,,
DG988.8 .E224 1990. From the library of David I. Owen,European and Classical Antiquity,,Malta and Gozo,,,,
DS156.A48 S36 1931,Ancient Western Asia,,"Anatolia through the ages: discoveries at the Alishar mound, 1927-29",,,,
CJ1363 .A44 2016,Central Asia & Siberia,,Das Antlitz des Fremden die Münzprägung der Hunnen und Westtürken in Zentralasien und Indien,,,,
DS353 .K67 2014,Ancient Western Asia,,Археология Афганистана в дни мира и дни войны,,,,
DG261 .U85 1976,European and Classical Antiquity,,Юлий Цезарь,,,,
NB1007.P4 G3 1956,"China, South Asia, & East Asia",,Gandhara sculpture in the National Museum of Pakistan,,,,
BL1605.L36 F37 2014,Ancient Western Asia,,Lamaštu: an edition of the canonical series of Lamaštu incantations and rituals and related texts from the second and first millennia B,,,,
"GN2 .F4 vol.24, no.1 Non-circulating",Egypt & North Africa,2008-02-13T00:00:00.000000,Egyptian stelae in Field Museum of Natural History /,,,,
DS69.6 .P78 2016,Ancient Western Asia,,The provincial archaeology of the Assyrian Empire,,,,
NK7983 .S47 1959,"China, South Asia, & East Asia",,盂鼎克鼎,,,,
PJ4075 .S54  v.2 (pt.1)-v.3 (pt.2) 2000,Ancient Western Asia,,Texts from the Yale Babylonian collections,,,,
ND1043.23 .G8 2000,"China, South Asia, & East Asia",,秦汉绘画史,,,,
GN824.C3 C5 1971,The Caucasus & The Western Steppe,,"K дрeвнeй истории Южного Kaвказа, ch",,,,
ND2849.K86 K8 1993,"China, South Asia, & East Asia",,庫車庫木吐拉石窟,,,,
DT92 .P446 2017,Egypt & North Africa,,Die Ptolemäer: im Reich der Kleopatra,,,,
GN824.U6 S47 1972,The Caucasus & The Western Steppe,,Основи археології допущено як підручник для студентів історичних факультетів університетів та педагогічних іститутів,,,,
P945.A2 G7659 2004,Ancient Western Asia,,Hethitische Texte in Transkription KUB 59,,,,
PA3315.P4 P48 2002,Egypt & North Africa,,"The Petra papyri, v",,,,
DS274 .C65 1966,Ancient Western Asia,,"Atti del Convegno sul tema: La Persia e il mondo Greco-Romano; Roma, 11-14 apr",,,,
N8193.A3 N486 2010,"China, South Asia, & East Asia",,Pilgrimage and Buddhist art,,,,
CC75 .B7 1929 Non-circulating,Cross-Cultural Studies & Other,2013-07-31T00:00:00.000000,How to observe in archaeology :,,,,
P945.A2 G76349 2013,Ancient Western Asia,,Hethitische Texte in Transkription KBo 49,,,,
DS691.3.B353 A97 1964,The Caucasus & The Western Steppe,,Azărbai̐jan Tarikhi Muzei̐i = Muzeĭ istorii Azerbaĭdzhana = Museum of History of Azerbaijan = Musee de L'histoire d'Azerbaidjan = Museum fur Geschichte von Aserbaidshan = Mathaf tarikh Adharbaijan /,31154069077012.0,"Azärbaycan Tarixi Muzeyi (Baku, Azerbaijan)",2026-01-28,corrections_2026-01-28.csv
DS554.36 .A913 1999,"China, South Asia, & East Asia",,"Khmer heritage in the old Siamese provinces of Cambodia with special emphasis on temples, inscriptions, and etymology",,,,
DK508.9.T53 I45 1975,The Caucasus & The Western Steppe,,Раннескифские курганы бассейна р,,,,
GN855.C35 C37 2017,The Caucasus & The Western Steppe,,Transcaucasian bronze belts,,,,
DS748.44.F464 B45 2015,"China, South Asia, & East Asia",,北燕冯素弗墓= Feng Sufu couple's tombs of the Northern Yan,,,,
GT3283.A2 L582 2015,"China, South Asia, & East Asia",,冥界的秩序:中国古代墓葬制度概论,,,,
BS440 .A54 1992,Ancient Western Asia,,"The Anchor Bible dictionary, v",,,,
DS797.28.D864 G865 2016,"China, South Asia, & East Asia",,敦煌莫高窟第454窟研究,,,,
CN62.W67 A36 1964,European and Classical Antiquity,,"Adolf Wilhelm, 1864-1950: zum Gedenken an die 100",,,,
P1035 .U53 2017,European and Classical Antiquity,,Understanding relations between scripts: the Aegean writing systems,,,,
B128.C8 L8 2010,"China, South Asia, & East Asia",,Confucius: his life and legacy in art,,,,
DG209 .J652 1968,European and Classical Antiquity,,"A history of Rome through the fifth century, v",,,,
DK34.S4 F43 1994,The Caucasus & The Western Steppe,,Памятники скифской эпохи Приднeпровской тeррaсовой лесостeпи,,,,
N6250 .B965 2012,Ancient Western Asia,,"Byzantium and Islam: age of transition, 7th-9th century",,,,
DS156.Y37 B37 1982,Ancient Western Asia,,Yassı Ada: a seventh-century byzantine shipwreck,,,,
BM487 .A1 1950,Ancient Western Asia,,The Dead Sea scrolls of St,,,,
Z6605.A7 C685 1994. From the Library of Nina Garsoïan,The Caucasus & The Western Steppe,,Catalogue of the Armenian manuscripts in the Cambridge University Library,,,,
DK771.K76 V33 1981 Non-circulating,Central Asia & Siberia,2013-01-16T00:00:00.000000,Skazy o drevnikh kurganakh /,,,,
DS154.9.K487 W47 2016,Ancient Western Asia,,A gem of a small Nabataean temple: excavations at Khirbet et-Tannur in Jordan,,,,
HT114 .L5813 2016,Ancient Western Asia,,Imagining Babylon: the modern story of an ancient city,,,,
N7343.22 .L58 2007,"China, South Asia, & East Asia",,美术考古与古代文明=Meishu kaogu yu gu dai wen ming,,,,
DK508.3 .M38 1982,The Caucasus & The Western Steppe,,Материалы по хронологии археологических памятников Украины: сборник научных трудов,,,,
GN778.28 .C48 1989,The Caucasus & The Western Steppe,,Древняя металлургия Северной Евразии: сейминско-турбинский феномен,,,,
NK4167.22 .P69 2009,"China, South Asia, & East Asia",,The power of Dogu: ceramic figures from ancient Japan,,,,
HN10.R7 S59 2018,European and Classical Antiquity,,Social interactions and status markers in the Roman world,,,,
ND2849.D86 F36 2003,"China, South Asia, & East Asia",,"敦煌鉴赏:精选50窟,莫高窟・榆林窟・西千佛洞",,,,
BL975.S38 R34 1985,Cross-Cultural Studies & Other,,Модель мира скифской культуры: проблемы мировоззрения ираноязычных народов евразийских степей И тысячелетия до н,,,,
NB1046.S62 M46 1987,"China, South Asia, & East Asia",,新疆古代雕塑輯佚,,,,
N7336 .N48 1979,"China, South Asia, & East Asia",,Treasures from the Metropolitan Museum of Art,,,,
PJ1571 .L67 2009,Egypt & North Africa,,Le papyrus dramatique du Ramesseum: études des structures de la composition,,,,
DS56 .R46 2009,Ancient Western Asia,,"La famille dans le Proche-Orient ancien: réalités, symbolismes, et images : proceedings of the 55th Rencontre assyriologique internationale at Paris, 6-9 July 2009",,,,
BX342.9.E8 O78 1957,European and Classical Antiquity,,Un office byzantin d'exorcisme: (ms,,,,
DS66 .D48 2006,Ancient Western Asia,,Ḫattuša-Boğazköy: das Hethiterreich im Spannungsfeld des Alten Orients : 6,,,,
CD5344 .G968 2008,Ancient Western Asia,,Great-commander (vuzurg-framadār) and Court counsellor (dar-andarzbed) in the Sasanian empire (224-651): the sigillographic evidence,,,,
DK511.D54 S83 1981,The Caucasus & The Western Steppe,,Стeпнoe Пoднeпрoвьe в бронзовом и раннем железном веках: сбoрник нaучных трудов : издается с 1977 г,,,,
CN753.P19 R6 1992,Egypt & North Africa,,"Rock inscriptions and graffiti project: catalogue of inscriptions, v",,,,
PJ5208.A2 A54 1993,Egypt & North Africa,,Ancient Aramaic and Hebrew letters,,,,
Game Lions,Ancient Western Asia,2025-12-11,Lions of Lydia /,,,,
PJ6305 .C513 1967,Ancient Western Asia,,A grammar of the Arabic language,,,,
DS110.G5 G57 1990,Ancient Western Asia,,"Gezer III: a ceramic typology of the late Iron II, Persian and Hellenistic periods at Tell Gezer, v",,,,
DS715 .W44 1998,"China, South Asia, & East Asia",,文物500期总目索引: (1950,,,,
DS70.63 .B53 2018,Ancient Western Asia,,Euphrat und Tigris im Alten Orient,,,,
N7291 .B4 1980,Central Asia & Siberia,,"Mittelasien, Kunst der Sogden",,,,
PJ4031 .M37 2006,Ancient Western Asia,,LUMMA in the onomasticon and literature of ancient Mesopotamia,,,,
DS22.7 .K773 2001,Central Asia & Siberia,,Золото Чингисидов: культурное наследие Золотой Орды,,,,
PJ1097 .B87 2017,Egypt & North Africa,,Complete Middle Egyptian: a new method for understanding hieroglyphs: reading texts in context,,,,
DS71 .L76 2017,Ancient Western Asia,,Assyria: the imperial mission,,,,
DS793.H6 Z48 1984,"China, South Asia, & East Asia",,"Zhongshan: tombes des rois oubliés : exposition archéologique chinoise du Royaume de Zhongshan : Galeries nationales du Grand Palais, 10 novembre 1984-4 février 1985",,,,
ND2848 .H42 2001,"China, South Asia, & East Asia",,古墓　丹青:汉代　墓室　壁画　的　发现　与　硏究,,,,
PA3315.O83 O86 1898 v. 16 & 58,Egypt & North Africa,,"The Oxyrhynchus papyri, v",,,,
N7343.3 .L8 1981,"China, South Asia, & East Asia",,永泰公主石椁线刻画,,,,
GN778.22.U38 C49 1988,The Caucasus & The Western Steppe,,Хронологія археологічних пам'яток епохи міді-бронзи на території України,,,,
DP402.C522 K44 2000,European and Classical Antiquity,,"Celti (Peñaflor): the archaeology of a Hispano-Roman town in Baetica : survey and excavations, 1987-1992",,,,
DS73.7 .K37 2016,Ancient Western Asia,,Relations of Power in Early Neo-Assyrian State Ideology,,,,
NA3780 .M67 2005,Ancient Western Asia,,Mosaics in Istanbul,,,,
DS715 .Q255 2008,"China, South Asia, & East Asia",,奇迹天工:中国古代发明创造文物展=Exhibition of ancient Chinese inventions artifacts,,,,
NK1069.M356 M356 2000,"China, South Asia, & East Asia",,满城汉墓= Han tombs in Mancheng county: cream of Cultural Relics of Hebei Province,,,,
DS797.44.X534 X67 2016,"China, South Asia, & East Asia",,淅川赵杰娃墓地=Zhaojiewa cemetery in Xichuan county,,,,
CJ536.M4 N6 1984,European and Classical Antiquity,,"The coinage of Metapontum, parts 1 and 2",,,,
DG97 .L35 2018,European and Classical Antiquity,,Latrinae: Roman toilets in the northwestern provinces of the Roman Empire,,,,
DT73.A75 R85 2011,Egypt & North Africa,,A prosopography of Byzantine Aphrodito,,,,
PA3315.H475 G38 1994,Egypt & North Africa,,Un codex fiscal hermopolite: (P,,,,
DK511.C2 V57 1972,The Caucasus & The Western Steppe,,Центральный и Северо-восточный Кавказ в скифское время (VII-IV века до н,,,,
DK511.C2 P675 2004,The Caucasus & The Western Steppe,,Проблемы древней истории и культуры северного Кавказа,,,,
PL1077 .C437 2016,"China, South Asia, & East Asia",,"走馬樓吳簡佃田,賦稅詞語研究",,,,
GN778.32.T93 K48 2002,Central Asia & Siberia,,Эпоха бронзы Югo-Зaпaднoгo Tуркменистана,,,,
PJ2195 .K76 1930,Egypt & North Africa,,"Ausgewählte koptische zaubertexte, Bd",,,,
DT60 .D47 2005,Egypt & North Africa,,"Des Néferkarê aux Montouhotep: travaux archéologiques en cours sur la fin de la VIe dynastie et la première période intermédiaire; actes du colloque CNRS-Université Lumière-Lyon 2, tenu le 5-7 juillet 2001",,,,
G90 .H813 1937,Ancient Western Asia,,"Ḥudūd al-ʻĀlam = ""The regions of the world"" : a Persian geography 372 A",,,,
PA3995 .A2 2011,European and Classical Antiquity,,"Claudii Galeni Opera Omnia, t",,,,
CJ391 .T47 1973,European and Classical Antiquity,,An inventory of Greek coin hoards,,,,
R135 .J68 no.27 & 28 (2016),Ancient Western Asia,,"Le journal des médecines cunéiformes, nos",,,,
BL1910. R63 1997,"China, South Asia, & East Asia",,Taoism: growth of a religion,,,,
CJ335 .D18 1967,European and Classical Antiquity,,Greek coins & cities,,,,
GV1611 .N34 1997,European and Classical Antiquity,,Attractive performances: ancient Greek dance : three preliminary studies,,,,
DS797.28.D864 Z635 2014,"China, South Asia, & East Asia",,专家讲敦煌,,,,
DS156.P8 C54 2016,Ancient Western Asia,,"Mитридaт Вeликий, ""пoслeдний эллин""",,,,
D59 .R38 2017,Cross-Cultural Studies & Other,,A short history of the ancient world,,,,
DS54.3 .C675 1982,Ancient Western Asia,,"Les rapports de Chypre avec le monde extérieur au passage de l'âge du bronze à l'âge du fer, v",,,,
DS70.5.C43 C43 2016,Ancient Western Asia,,Charax Spasinou: Alexander's lost city in Iraq,,,,
P944 .P6615 2008,Ancient Western Asia,,Völker und Sprachen Altanatoliens,,,,
DA685.P53 D96 2015,European and Classical Antiquity,,"An early Roman fort and urban development on Londinium's eastern hill: excavations at Plantation Place, City of London, 1997-2003",,,,
PJ4025 .S548 1985,Ancient Western Asia,,Testi e segni di Uruk IV: (analisi sintattiche),,,,
DS262.H57 G87 2016,Ancient Western Asia,,"The New Chronology of the Bronze Age Settlement of Tepe Hissar, Iran",,,,
DK511.V65 R827 2014,The Caucasus & The Western Steppe,,История археологического изучения Волжской Булгарии (Х--начало XIII в,,,,
DT73.T248 T45 2000 v.4,Egypt & North Africa,,"Tell Atrib, 1985-1995,vol",,,,
BF1591 .C668 2009,Cross-Cultural Studies & Other,,Contesti magici = Contextos mágicos,,,,
NB1280 .A24 2002,"China, South Asia, & East Asia",,A Freer stela reconsidered,,,,
DK949.K49 A79 2016,Central Asia & Siberia,,Хорезм: история открытий и исследований : по материалам архива Хорезмской экспедиции : этнографический альбом,,,,
DS69.5 .C85 2016,Ancient Western Asia,,Cultures and societies in the Middle Euphrates and Habur areas in the second millennium BC,,,,
DS749.42.T34 W46 1983,"China, South Asia, & East Asia",,大唐創業起居注,,,,
CC75.7 .N67 1981 Non-circulating,Cross-Cultural Studies & Other,2012-06-14T00:00:00.000000,Second Nordic conference on the application of scientific methods in archaeology :,,,,
DS715 .J564 2013,"China, South Asia, & East Asia",,夏商周考古学,,,,
NK7983.A1 C4451,"China, South Asia, & East Asia",,Ancient Chinese bronzes in the Shanghai Museum,,,,
DK511.K17 G645 2015,Central Asia & Siberia,,Погребальный обряд Тарасовскoгo могильникa I-V вв,,,,
TP683 .W355 2014,Ancient Western Asia,,Elaion: olive oil production in Roman and Byzantine Syria-Palestine,,,,
CN695.B8 G47 1989,European and Classical Antiquity,,Inscriptiones Latinae in Bulgaria repertae,,,,
HC21 .N66 1981,Cross-Cultural Studies & Other,,Structure and change in economic history,,,,
BJ2007.C56 S86 2002,"China, South Asia, & East Asia",,尊君肃臣:中国古代官礼研究,,,,
KL4709 .G47 1984,Ancient Western Asia,,Texte zum hethitischen Recht: eine Auswahl,,,,
CE73 .P7 1930,Cross-Cultural Studies & Other,,Unser kalender in vergangenheit und zukunft,,,,
DS793.T3 L43 1999,"China, South Asia, & East Asia",,泰山之旅=TAISHANZHILU,,,,
GN824.I4 A39 1963,The Caucasus & The Western Steppe,,Древняя культура саков и усуней долины реки Или,,,,
P958 .L3 1980,Ancient Western Asia,,Glossaire de la langue hourrite,,,,
PJ1680.R3 B3 1956,Egypt & North Africa,,Five Ramesseum papyri,,,,
DS797.28.M35 S86 2016,"China, South Asia, & East Asia",,天水麦积山第127窟研究,,,,
DS71 .B795 2013,Ancient Western Asia,,Alle origini della politica: la formazione e la crescita dello Stato in Siro-Mesopotamia,,,,
NB1043.23 .Q256 2016,"China, South Asia, & East Asia",,汉代陵墓石兽研究,,,,
BS192.2.A1 1964,Ancient Western Asia,,Malachi: a new translation with introduction and commentary,,,,
DK511.V65 D46 2008,Central Asia & Siberia,,Бронзовые котлы древних племен Нижнего Поволжья и Южного Приуралья--V в,,,,
KF2995 .C57 2004,Cross-Cultural Studies & Other,,Complete copyright: an everyday guide for librarians,,,,
SF196.E3 G45 1977,Egypt & North Africa,,Die ökonomische Bedeutung des Rindes im alten Ägypten,,,,
G2308.G3 G36 2000,"China, South Asia, & East Asia",,甘肃旅游交通图册,,,,
B187.N3 H45 2001,European and Classical Antiquity,,Studien zum griechischen Naturbegriff,,,,
NK6407 .G5 1927,European and Classical Antiquity,,Galvanoplastische Nachbildungen mykenischer und kretischer (minoischer) Altertümer,,,,
DS748.7 .P47 2011,"China, South Asia, & East Asia",,北魏史,,,,
